	NN1	NN2	NN3	UU1	UU2	UU3
SPU_000421	7	8	8	9	5	5
SPU_013892	1	0	0	0	0	0
SPU_001284	46	48	30	61	46	42
SPU_020370	0	0	0	0	0	0
SPU_018388	41	33	53	48	35	30
SPU_015244	65	62	46	36	17	33
SPU_000613	0	0	0	0	0	0
SPU_007610	90	107	85	91	95	91
SPU_025005	18	26	36	12	17	17
SPU_000101	1320	1290	1348	1547	1313	1211
SPU_000102	64	53	53	38	38	21
SPU_028687	7	17	6	16	6	4
SPU_020788	10	7	1	1	1	4
SPU_020786	207	191	187	186	140	83
SPU_020787	66	47	55	66	63	37
SPU_020797	9	7	13	3	9	8
SPU_016917	0	0	0	0	1	0
