,Control_1,Hot_1,Control_2,Hot_2
isogroup253685,204,1692,167,1575
isogroup253686,159,957,311,912
isogroup253687,102,361,90,406
isogroup253693,40,306,81,415
isogroup253694,226,1541,342,3217
isogroup253698,16,104,17,136
isogroup253700,83,217,56,176
isogroup253703,658,5776,917,6328
isogroup253704,41,300,56,189
isogroup253705,110,529,97,620
isogroup253706,1287,3006,674,4170
isogroup253707,15,61,16,46
isogroup253709,45,263,171,873
isogroup253711,47,259,52,271
isogroup253713,484,8,395,1
isogroup253715,56,377,39,322
isogroup253716,15,96,15,125
isogroup253719,1152,7981,1668,9084
isogroup253722,47,422,84,483
isogroup253723,70,302,91,336
isogroup253724,294,2226,412,2605
isogroup253727,194,757,403,1190
isogroup253728,136,656,130,641
isogroup253730,137,798,226,848
isogroup253731,421,2820,661,3235
isogroup253732,56,260,65,248
isogroup253734,593,1977,1104,2160
isogroup253736,741,5434,576,5783
isogroup253737,116,500,181,597
isogroup253739,44,334,49,313
isogroup253741,234,1358,250,1454
isogroup253744,22,171,22,190
isogroup253745,127,574,183,780
isogroup253748,739,4146,1118,4654
isogroup253751,3,34,10,72
isogroup253753,70,417,49,447
isogroup253760,32,253,52,305
isogroup253761,16,133,2,45
isogroup253762,143,4968,103,588
isogroup253766,21,46,43,93
isogroup253767,28,201,16,205
isogroup253778,189,1380,197,1291
isogroup253781,36,270,57,317
isogroup253784,109,714,111,524
isogroup253792,455,1886,569,1905
isogroup253794,38,169,91,285
isogroup253795,153,949,156,939
isogroup253799,59,313,76,307
isogroup253800,72,316,64,316
isogroup253803,228,1397,386,1808
isogroup253804,191,1342,190,1014
isogroup253806,58,354,79,382
isogroup253809,4,36,4,34
isogroup253811,417,1535,562,1590
isogroup253815,42,226,53,244
isogroup253819,99,443,189,681
isogroup253821,32,234,69,289
isogroup253822,90,678,111,591
isogroup253824,298,1320,359,1473
isogroup253827,58,423,109,566
isogroup253831,491,3098,683,3366
isogroup253832,134,1010,184,836
isogroup253834,116,839,83,665
isogroup253836,132,903,99,801
isogroup253841,192,1047,239,1057
isogroup253843,110,454,163,494
isogroup253845,142,516,129,384
isogroup253851,50,103,60,195
isogroup253853,166,717,292,1078
isogroup253854,350,2,302,2
isogroup253855,178,922,253,972
isogroup253857,20,132,29,90
isogroup253859,512,2969,704,3791
isogroup253869,121,450,148,635
isogroup253870,11,106,24,120
isogroup253872,223,1914,170,933
isogroup253873,46,182,30,181
isogroup253878,102,654,94,643
isogroup253879,75,439,86,457
isogroup253888,81,469,93,468
isogroup253890,19,126,17,147
isogroup253892,407,2177,558,2322
isogroup253894,73,381,111,508
isogroup253895,47,304,52,322
isogroup253897,64,489,73,602
isogroup253901,351,1902,320,1898
isogroup253903,45,205,29,188
isogroup253904,33,118,62,162
isogroup253909,141,691,137,736
isogroup253912,69,621,95,573
isogroup253913,58,321,38,430
isogroup253914,101,796,153,770
isogroup253916,121,667,134,638
isogroup253918,369,1686,856,2067
isogroup253922,33,58,47,59
isogroup253923,171,1001,109,788
isogroup253924,542,3541,825,3586
isogroup253928,142,887,186,1204
isogroup253929,705,5572,906,4142
isogroup253930,64,339,73,374
isogroup253931,32,209,78,610
isogroup253932,19,205,15,206
isogroup253933,77,355,57,353
isogroup253934,106,633,105,741
isogroup253935,315,1551,484,1952
isogroup253936,79,612,86,525
isogroup253937,20,111,9,86
isogroup253942,90,462,119,484
isogroup253943,192,125,137,131
isogroup253947,6,110,7,75
isogroup253948,83,551,90,557
isogroup253949,43,244,78,291
isogroup253950,134,829,223,1038
isogroup253951,93,983,349,958
isogroup253952,61,402,48,267
isogroup253953,26,187,26,148
isogroup253957,436,3397,615,4217
isogroup253959,78,360,48,206
isogroup253961,110,845,112,846
isogroup253963,1364,7843,1807,8772
isogroup253966,99,434,133,484
isogroup253967,174,939,219,954
isogroup253968,29,155,35,212
isogroup253970,78,394,109,314
isogroup253972,71,769,123,1166
isogroup253973,1517,10531,1765,10227
isogroup253980,32,147,45,217
isogroup253991,28,230,20,135
isogroup253993,319,1048,360,1550
isogroup253994,26,156,15,130
isogroup253995,183,946,265,1206
isogroup253997,54,139,33,155
isogroup253998,65,396,138,493
isogroup254001,181,922,256,1197
isogroup254003,21,155,30,174
isogroup254006,11,85,28,101
isogroup254008,132,396,115,667
isogroup254011,50,355,56,284
isogroup254012,164,933,220,1047
isogroup254013,201,636,257,800
isogroup254018,268,2077,352,2528
isogroup254020,44,308,36,300
isogroup254022,72,387,16,136
isogroup254025,142,1064,205,1055
isogroup254026,108,546,131,465
isogroup254028,25,41,41,80
isogroup254033,695,3654,987,5122
isogroup254036,7,56,23,92
isogroup254038,128,780,177,919
isogroup254039,4,44,3,31
isogroup254040,34,188,21,164
isogroup254041,19,248,16,279
isogroup254043,6,36,13,52
isogroup254045,59,290,79,285
isogroup254046,278,547,413,1152
isogroup254050,435,2298,617,2761
isogroup254051,14,141,30,170
isogroup254052,532,3366,726,3952
isogroup254054,39,215,56,251
isogroup254055,23,225,23,231
isogroup254057,36,201,65,226
isogroup254059,1505,5411,1697,5924
isogroup254060,120,958,140,911
isogroup254065,33,161,14,143
isogroup254066,101,498,124,574
isogroup254069,523,2028,436,2314
isogroup254071,237,435,91,340
isogroup254073,283,1971,337,2398
isogroup254074,81,502,165,640
isogroup254075,156,1279,231,1197
isogroup254077,34,120,44,146
isogroup254078,15,73,5,53
isogroup254079,8,68,32,101
isogroup254083,1622,9781,2653,15430
isogroup254084,39,59,71,121
isogroup254085,106,346,92,339
isogroup254087,16,154,37,139
isogroup254088,518,3137,757,4668
isogroup254089,54,295,46,363
isogroup254090,12,87,34,177
isogroup254094,147,644,197,759
isogroup254095,183,985,193,991
isogroup254097,35,217,45,230
isogroup254099,52,403,45,380
isogroup254100,13,101,4,68
isogroup254101,263,1105,362,1548
isogroup254104,150,904,231,1020
isogroup254107,61,424,75,487
isogroup254109,236,1314,345,1557
isogroup254113,123,720,109,636
isogroup254114,1423,10193,1589,7861
isogroup254120,404,3539,510,3268
isogroup254121,25,22,45,58
isogroup254122,102,707,51,423
isogroup254124,119,704,171,796
isogroup254126,15,353,91,244
isogroup254127,19,162,27,159
isogroup254131,823,986,1013,1450
isogroup254132,667,3877,1096,5187
isogroup254133,615,2725,778,3122
isogroup254134,170,893,217,985
isogroup254138,229,2036,243,2035
isogroup254139,82,575,134,705
isogroup254140,18,106,16,143
isogroup254141,68,522,87,617
isogroup254145,68,344,96,479
isogroup254146,19,104,15,96
isogroup254151,19,62,23,67
isogroup254152,13,134,27,181
isogroup254157,295,1811,359,1797
isogroup254158,2,28,8,35
isogroup254159,417,1726,573,1780
isogroup254162,526,3573,701,3515
isogroup254164,19,118,19,139
isogroup254166,219,819,256,978
isogroup254167,92,402,131,413
isogroup254171,599,3829,706,3864
isogroup254176,32,778,31,451
isogroup254177,185,750,179,1026
isogroup254180,338,1218,263,1352
isogroup254181,137,900,113,750
isogroup254184,272,2180,298,2362
isogroup254189,241,1175,408,1394
isogroup254192,362,4208,538,2663
isogroup254193,256,1216,456,1840
isogroup254195,44,369,60,351
isogroup254203,190,920,214,1044
isogroup254204,95,653,133,807
isogroup254205,485,2159,531,2456
isogroup254208,51,254,73,320
isogroup254210,213,414,81,411
isogroup254212,66,337,86,399
isogroup254215,308,878,372,939
isogroup254219,1233,8893,1733,9340
isogroup254221,99,354,78,492
isogroup254222,13,102,22,140
isogroup254227,63,709,54,610
isogroup254230,26,129,52,165
isogroup254232,81,229,34,180
isogroup254236,267,4005,341,7022
isogroup254237,57,235,18,165
isogroup254242,109,759,70,623
isogroup254247,61,364,110,478
isogroup254248,116,751,214,816
isogroup254249,101,758,107,727
isogroup254252,71,397,107,436
isogroup254253,45,607,68,380
isogroup254255,34,32,40,66
isogroup254256,88,463,119,566
isogroup254257,29,89,57,114
isogroup254259,23,148,34,277
isogroup254260,146,690,230,831
isogroup254261,106,818,117,765
isogroup254262,19,127,32,198
isogroup254263,136,691,98,648
isogroup254264,76,341,105,474
isogroup254269,205,856,507,934
isogroup254272,120,324,75,352
isogroup254274,303,1627,432,2338
isogroup254275,219,1439,178,1168
isogroup254279,52,432,89,380
isogroup254282,25,79,11,91
isogroup254284,114,688,135,691
isogroup254286,166,1411,227,1327
isogroup254287,12,57,15,115
isogroup254289,1677,8385,2140,8202
isogroup254290,135,898,138,747
isogroup254291,134,1089,300,1222
isogroup254297,22,144,19,161
isogroup254298,103,766,180,947
isogroup254300,12,44,14,58
isogroup254303,146,738,174,822
isogroup254304,54,190,49,218
isogroup254305,315,2506,280,1537
isogroup254307,37,213,60,269
isogroup254311,45,122,58,101
isogroup254315,53,281,65,309
isogroup254316,25,165,41,165
isogroup254317,137,870,227,959
isogroup254321,78,402,105,468
isogroup254322,431,3567,1096,5582
isogroup254323,59,438,58,353
isogroup254326,45,243,35,247
isogroup254327,79,402,83,497
isogroup254329,51,202,52,238
isogroup254330,30,157,30,145
isogroup254331,1013,3825,1341,4972
isogroup254332,229,941,271,977
isogroup254333,162,652,175,536
isogroup254335,519,2299,890,2383
isogroup254338,429,2833,615,3631
isogroup254339,7,30,57,132
isogroup254342,401,1655,431,1943
isogroup254349,172,708,231,971
isogroup254352,1355,8206,2060,10235
isogroup254354,22,184,34,164
isogroup254357,112,353,67,222
isogroup254358,183,1494,261,1394
isogroup254360,250,1589,269,1268
isogroup254363,56,191,43,210
isogroup254367,186,1044,269,1023
isogroup254368,135,643,202,787
isogroup254369,10,17,15,28
isogroup254370,37,328,42,383
isogroup254372,71,440,118,488
isogroup254373,781,11664,1359,16061
isogroup254374,62,314,63,363
isogroup254376,283,1407,245,1229
isogroup254377,38,238,27,259
isogroup254378,123,691,78,573
isogroup254379,41,141,13,98
isogroup254384,57,416,92,471
isogroup254386,68,234,84,272
isogroup254388,93,761,161,775
isogroup254390,7,41,27,104
isogroup254391,75,304,48,247
isogroup254392,40,189,13,135
isogroup254396,486,5,336,0
isogroup254399,66,310,79,278
isogroup254404,733,5831,1088,6388
isogroup254406,192,1023,233,1147
isogroup254407,387,2799,525,2545
isogroup254409,52,420,98,444
isogroup254411,138,2,407,0
isogroup254415,20,89,15,79
isogroup254416,102,654,178,922
isogroup254418,266,1270,497,1725
isogroup254420,129,596,181,523
isogroup254421,17,110,20,87
isogroup254427,16,244,18,216
isogroup254430,57,279,66,353
isogroup254431,117,470,117,516
isogroup254433,17,73,16,79
isogroup254435,329,3479,404,4006
isogroup254438,512,2745,788,3842
isogroup254439,10,84,20,84
isogroup254443,131,746,201,759
isogroup254444,94,644,112,729
isogroup254449,82,531,168,614
isogroup254452,71,362,106,462
isogroup254454,238,1849,204,1460
isogroup254457,256,1578,312,1546
isogroup254458,18,101,17,138
isogroup254461,349,2540,589,2898
isogroup254462,171,412,81,317
isogroup254465,16,79,15,78
isogroup254467,25,174,21,168
isogroup254469,6,67,12,41
isogroup254471,69,270,38,359
isogroup254473,75,61,7,41
isogroup254479,30,206,23,276
isogroup254482,35,214,72,202
isogroup254483,100,278,19,128
isogroup254484,310,1338,505,1646
isogroup254486,62,394,96,516
isogroup254489,111,841,83,612
isogroup254491,202,1181,260,1322
isogroup254492,349,2100,577,2645
isogroup254493,96,477,140,627
isogroup254497,80,399,88,361
isogroup254501,26,207,36,145
isogroup254502,1424,8201,1294,8417
isogroup254503,756,5364,937,5019
isogroup254504,244,2186,365,2687
isogroup254508,43,185,32,156
isogroup254512,50,126,27,93
isogroup254513,120,452,214,1034
isogroup254515,1251,3571,1748,5054
isogroup254516,77,440,90,490
isogroup254519,253,1402,382,1668
isogroup254521,211,822,361,983
isogroup254522,58,301,93,426
isogroup254524,45,352,59,381
isogroup254525,44,423,89,434
isogroup254527,12,123,41,139
isogroup254528,501,3084,653,3445
isogroup254531,88,484,108,516
isogroup254533,32,115,49,163
isogroup254536,302,2002,321,1826
isogroup254537,55,301,60,381
isogroup254543,227,830,331,668
isogroup254550,234,1355,340,1475
isogroup254556,652,6402,869,5047
isogroup254558,265,1130,385,1222
isogroup254559,47,331,43,372
isogroup254562,48,265,61,275
isogroup254566,16,0,17,0
isogroup254567,599,3793,737,3450
isogroup254569,43,248,56,354
isogroup254570,249,1035,312,1168
isogroup254571,70,343,50,394
isogroup254575,49,508,57,367
isogroup254576,221,1153,242,1237
isogroup254578,17,111,25,142
isogroup254580,117,765,166,675
isogroup254581,159,993,236,960
isogroup254582,329,5814,233,3595
isogroup254588,1039,7758,1455,8111
isogroup254589,162,664,177,810
isogroup254590,696,3990,1038,5143
isogroup254591,43,299,21,171
isogroup254592,69,264,144,531
isogroup254593,198,1351,183,1486
isogroup254600,82,629,79,509
isogroup254601,162,390,106,523
isogroup254602,139,762,184,832
isogroup254604,266,1472,577,1893
isogroup254605,139,606,162,717
isogroup254606,741,3972,628,3667
isogroup254607,568,2820,736,4088
isogroup254608,132,447,301,757
isogroup254614,62,366,44,353
isogroup254616,54,350,49,283
isogroup254618,54,360,72,428
isogroup254619,2555,15015,3735,18159
isogroup254621,36,232,46,196
isogroup254622,212,1688,275,1828
isogroup254624,57,314,105,453
isogroup254625,1298,5320,1827,6272
isogroup254626,870,16,698,1
isogroup254628,12,130,28,97
isogroup254629,229,2101,169,1866
isogroup25463,15,483,38,130
isogroup254631,113,639,173,662
isogroup254637,1497,16,1333,6
isogroup254641,2377,11195,2902,11962
isogroup254642,360,2889,282,1876
isogroup254643,8,95,26,170
isogroup254644,322,1895,402,1866
isogroup254646,63,359,83,333
isogroup254647,141,986,177,891
isogroup254649,266,1647,213,1604
isogroup254650,192,1074,272,1181
isogroup254651,33,183,17,118
isogroup254652,73,429,143,481
isogroup254653,1331,10618,1668,11837
isogroup254654,97,523,87,529
isogroup254655,1348,6682,1642,8665
isogroup254659,20,84,10,108
isogroup254662,730,3769,981,4297
isogroup254663,473,2976,439,2248
isogroup254666,301,1020,455,1221
isogroup254667,81,492,112,599
isogroup254668,136,710,156,839
isogroup254673,108,363,169,244
isogroup254675,117,533,145,618
isogroup254679,75,606,161,802
isogroup254682,166,1012,135,887
isogroup254684,170,883,292,1187
isogroup254685,567,2502,805,3199
isogroup254686,146,598,196,813
isogroup254687,125,989,219,1315
isogroup254688,273,1464,253,1120
isogroup254689,68,443,150,518
isogroup254690,75,336,55,147
isogroup254694,202,760,195,721
isogroup254696,204,988,405,1329
isogroup254700,86,610,113,635
isogroup254701,190,1050,217,1153
isogroup254702,38,293,59,238
isogroup254703,192,784,195,561
isogroup254705,209,1263,356,1529
isogroup254707,32,182,15,153
isogroup254708,81,363,91,422
isogroup254711,168,1263,178,1213
isogroup254713,191,1034,281,1252
isogroup254715,173,1799,420,2894
isogroup254718,35,251,53,264
isogroup254720,263,1522,424,1823
isogroup254721,503,2989,586,3072
isogroup254723,41,190,42,202
isogroup254724,234,1289,211,1047
isogroup254725,1968,7976,2688,9283
isogroup254726,25,35,24,53
isogroup254727,78,754,125,754
isogroup254729,218,1055,357,1416
isogroup254731,81,433,202,614
isogroup254738,276,2139,278,1964
isogroup254741,194,857,313,1102
isogroup254742,16,87,17,92
isogroup254745,78,507,110,479
isogroup254746,60,364,60,386
isogroup254747,44,233,24,240
isogroup254750,508,2564,644,2606
isogroup254752,1,8,3,33
isogroup254756,299,2496,396,2151
isogroup254759,27,218,24,305
isogroup254760,48,173,32,126
isogroup254761,244,1682,181,982
isogroup254762,108,415,134,516
isogroup254763,532,3105,574,3108
isogroup254765,9,0,9,0
isogroup254767,42,377,54,404
isogroup254772,26,167,16,83
isogroup254776,224,1167,333,1508
isogroup254777,172,488,137,443
isogroup254778,225,1826,385,2068
isogroup254781,608,3328,930,4123
isogroup254783,32,174,34,153
isogroup254788,185,1025,191,1181
isogroup254789,361,1730,497,2140
isogroup254790,162,1440,226,1510
isogroup254792,527,2344,882,2848
isogroup254793,787,4209,1124,4690
isogroup254796,233,1365,246,867
isogroup254798,234,1133,432,1426
isogroup254799,191,909,255,1043
isogroup254800,89,532,117,562
isogroup254802,293,1791,381,1755
isogroup254804,19,211,10,177
isogroup254808,126,674,147,802
isogroup254811,122,357,175,602
isogroup254813,571,5630,753,4873
isogroup254815,63,417,78,434
isogroup254818,282,1682,322,2020
isogroup254824,117,557,162,649
isogroup254826,147,1000,223,1226
isogroup254828,130,967,200,1022
isogroup254829,747,5027,914,4834
isogroup254834,683,3705,931,4169
isogroup254839,112,890,168,969
isogroup254842,82,440,74,449
isogroup254844,24,244,28,210
isogroup254845,107,674,103,587
isogroup254847,144,594,146,617
isogroup254848,170,949,249,1309
isogroup254850,27,191,35,235
isogroup254851,25,221,33,239
isogroup254852,86,419,81,317
isogroup254854,11,97,10,97
isogroup254856,512,1866,331,2251
isogroup254857,1889,8677,2772,9558
isogroup254859,76,492,130,601
isogroup254861,6,42,9,42
isogroup254863,173,990,272,1106
isogroup254865,14,104,32,124
isogroup254867,120,673,93,567
isogroup254868,85,571,123,635
isogroup254871,62,452,70,509
isogroup254872,39,215,42,231
isogroup254873,367,1873,366,2026
